shipment_id,vaccine_type,transport_mode,route,temperature_avg_c,temperature_max_c,temperature_min_c,humidity_pct,vibration_g,door_open_count,transit_duration_hrs,power_outage_mins,temp_excursion,temp_excursion_duration_mins,cold_chain_failure
SHP-00048,Hepatitis-B,Road,Delhi-Mumbai,6.25,6.27,4.92,38.92,0.013,5,37.74,5.85,0,0.0,0
SHP-00049,Hepatitis-B,Road,Bengaluru-Pune,1.45,3.45,1.3,44.13,0.4424,1,16.65,8.74,1,53.97,0
SHP-00050,COVID-19-mRNA,Road,Delhi-Mumbai,1.29,3.0,0.44,50.54,0.0068,4,39.67,1.72,1,56.85,0
SHP-00051,Rotavirus,Air,Jaipur-Hyderabad,2.25,4.4,1.8,31.27,0.2866,3,9.12,10.16,1,82.41,0
SHP-00052,Influenza,Rail,Chennai-Kolkata,6.44,8.63,5.81,50.25,0.1704,6,61.44,0.41,1,38.21,0
SHP-00053,Rotavirus,Air,Jaipur-Hyderabad,0.06,0.27,-0.92,52.98,0.1924,2,47.43,3.75,1,119.21,0
SHP-00054,Rotavirus,Air,Jaipur-Hyderabad,4.99,6.73,4.88,42.06,0.002,3,68.14,1.33,0,0.0,0
SHP-00055,Hepatitis-B,Road,Lucknow-Ahmedabad,4.91,6.49,4.33,44.6,1.6669,2,45.58,6.51,0,0.0,0
SHP-00056,Rotavirus,Road,Jaipur-Hyderabad,6.91,10.04,6.42,52.79,0.3638,3,18.02,0.96,1,45.48,1
SHP-00057,COVID-19-mRNA,Road,Bengaluru-Pune,4.45,6.08,4.44,58.56,0.4249,5,37.95,2.09,0,0.0,0
SHP-00058,COVID-19-mRNA,Road,Jaipur-Hyderabad,0.64,0.75,0.58,46.09,0.5485,2,49.87,0.68,1,44.53,0
SHP-00059,COVID-19-mRNA,Road,Bengaluru-Pune,1.6,2.44,1.52,57.92,0.7986,4,30.7,8.35,1,77.25,0
SHP-00060,Polio,Road,Delhi-Mumbai,1.05,1.32,-0.25,56.37,0.4681,2,42.47,0.71,1,112.89,1
SHP-00061,Polio,Sea,Lucknow-Ahmedabad,2.66,3.39,2.5,55.47,0.7182,0,16.74,6.42,0,0.0,0
SHP-00062,COVID-19-mRNA,Sea,Bengaluru-Pune,3.54,4.0,2.96,48.48,0.2978,2,57.29,6.14,0,0.0,0
SHP-00063,Influenza,Road,Jaipur-Hyderabad,1.09,2.77,-0.26,41.67,0.232,5,66.03,0.77,1,20.65,0
SHP-00064,Polio,Road,Lucknow-Ahmedabad,7.68,7.76,7.31,71.96,0.8662,1,26.78,4.17,0,0.0,0
SHP-00065,COVID-19-mRNA,Road,Lucknow-Ahmedabad,0.69,2.03,0.08,61.3,1.0024,1,58.36,3.43,1,21.47,0
SHP-00066,Hepatitis-B,Air,Bengaluru-Pune,7.37,7.77,7.14,65.06,0.0741,5,12.07,4.51,0,0.0,0
SHP-00067,COVID-19-mRNA,Road,Bengaluru-Pune,6.96,8.98,6.12,54.16,0.3912,6,22.28,13.84,1,104.9,0
SHP-00068,Influenza,Road,Chennai-Kolkata,6.25,6.65,5.3,53.36,0.5754,3,36.48,0.42,0,0.0,0
SHP-00069,COVID-19-mRNA,Sea,Chennai-Kolkata,2.27,4.92,2.17,59.91,0.0437,4,31.5,8.59,0,0.0,0
SHP-00070,Rotavirus,Air,Lucknow-Ahmedabad,4.86,7.0,3.05,36.65,1.3268,4,46.9,9.91,0,0.0,0
SHP-00071,Influenza,Road,Chennai-Kolkata,0.81,1.68,-0.73,43.85,0.3671,3,43.16,0.67,1,21.03,0
SHP-00072,COVID-19-mRNA,Road,Jaipur-Hyderabad,6.28,7.94,4.92,47.02,0.5185,2,11.76,5.34,0,0.0,0
SHP-00073,COVID-19-mRNA,Road,Delhi-Mumbai,3.82,3.89,3.3,50.45,0.0982,4,14.69,6.06,0,0.0,0
SHP-00074,Influenza,Air,Lucknow-Ahmedabad,2.98,4.71,1.64,46.2,0.1536,4,9.41,3.98,1,63.04,0
SHP-00075,Influenza,Sea,Delhi-Mumbai,0.94,1.68,0.71,58.33,0.0645,4,68.87,3.5,1,60.98,0
SHP-00076,Influenza,Road,Chennai-Kolkata,-2.19,-0.83,-3.39,55.81,0.1533,4,48.59,1.91,1,39.17,0
SHP-00077,Influenza,Road,Bengaluru-Pune,1.4,3.22,0.69,68.93,0.339,1,62.47,5.84,1,101.28,0
SHP-00078,COVID-19-mRNA,Air,Lucknow-Ahmedabad,6.78,7.94,6.09,79.74,0.8968,2,41.72,1.68,0,0.0,0
SHP-00079,Polio,Road,Chennai-Kolkata,2.99,4.01,2.36,42.37,0.3815,3,18.79,3.08,0,0.0,0
SHP-00080,COVID-19-mRNA,Road,Jaipur-Hyderabad,3.58,4.65,3.05,56.47,0.1402,13,47.36,9.74,0,0.0,0
SHP-00081,Rotavirus,Air,Lucknow-Ahmedabad,5.64,5.87,5.2,56.46,0.0228,4,39.35,0.47,0,0.0,0
SHP-00082,Hepatitis-B,Air,Lucknow-Ahmedabad,8.51,9.54,8.31,54.86,0.4864,1,32.94,3.76,1,13.69,0
SHP-00083,Polio,Rail,Bengaluru-Pune,7.31,7.84,5.42,44.15,0.2725,0,30.54,3.33,0,0.0,0
SHP-00084,COVID-19-mRNA,Air,Lucknow-Ahmedabad,1.57,1.67,1.39,45.83,2.0788,2,48.91,2.38,1,11.4,0
SHP-00085,Polio,Air,Bengaluru-Pune,-0.86,1.49,-2.64,57.4,0.7565,5,46.77,4.55,1,100.26,0
SHP-00086,Polio,Road,Chennai-Kolkata,9.9,11.05,9.0,45.55,0.8261,3,16.0,0.08,1,39.3,1
SHP-00087,Influenza,Rail,Jaipur-Hyderabad,9.67,10.39,9.09,56.59,0.0062,3,59.87,3.39,1,23.2,1
SHP-00088,Hepatitis-B,Air,Jaipur-Hyderabad,4.47,8.65,3.29,52.54,0.7521,2,47.98,3.32,1,55.87,0
SHP-00089,Rotavirus,Road,Lucknow-Ahmedabad,0.82,0.86,0.21,56.42,0.1082,4,41.36,3.63,1,71.53,0
SHP-00090,Polio,Air,Lucknow-Ahmedabad,6.41,7.52,5.2,45.47,0.4407,3,55.43,1.19,0,0.0,0
SHP-00091,COVID-19-mRNA,Air,Chennai-Kolkata,3.73,6.26,2.55,56.57,0.2966,4,16.14,1.16,0,0.0,0
SHP-00092,Influenza,Air,Bengaluru-Pune,3.72,4.6,2.47,46.19,0.4239,1,66.7,5.21,0,0.0,0
SHP-00093,Influenza,Rail,Jaipur-Hyderabad,6.24,7.88,5.74,56.61,0.0716,4,23.86,0.49,0,0.0,0
SHP-00094,Hepatitis-B,Air,Bengaluru-Pune,4.84,5.6,3.4,68.39,0.3052,2,23.34,1.83,0,0.0,0
SHP-00095,Influenza,Air,Chennai-Kolkata,1.04,2.03,0.53,57.61,0.0188,3,59.78,8.88,1,21.06,0
SHP-00096,Polio,Road,Jaipur-Hyderabad,3.19,4.36,2.71,58.22,0.0209,4,28.04,0.55,0,0.0,0
SHP-00097,Hepatitis-B,Rail,Jaipur-Hyderabad,5.65,6.42,5.18,63.17,0.5361,2,60.83,3.16,0,0.0,0
SHP-00098,Polio,Road,Delhi-Mumbai,5.28,6.84,5.06,40.96,1.5151,1,27.65,5.52,0,0.0,0
SHP-00099,COVID-19-mRNA,Road,Chennai-Kolkata,4.66,6.84,3.42,72.19,0.7512,4,42.35,0.76,0,0.0,0
SHP-00100,COVID-19-mRNA,Air,Chennai-Kolkata,6.33,8.92,6.01,44.44,0.3166,3,21.24,1.87,1,111.77,0
SHP-00101,COVID-19-mRNA,Road,Delhi-Mumbai,3.1,3.96,1.85,63.8,0.0287,1,54.28,4.09,1,61.49,0
SHP-00102,Hepatitis-B,Road,Bengaluru-Pune,4.45,4.84,3.99,62.47,0.023,4,17.02,1.98,0,0.0,0
SHP-00103,Polio,Road,Delhi-Mumbai,-4.44,-4.43,-5.65,45.98,0.0859,2,65.36,0.58,1,114.69,0
SHP-00104,Hepatitis-B,Road,Chennai-Kolkata,2.88,3.63,2.55,65.09,1.8609,4,30.53,1.32,0,0.0,0
SHP-00105,Rotavirus,Road,Bengaluru-Pune,5.91,7.37,5.79,59.98,0.2543,1,37.12,0.58,0,0.0,0
SHP-00106,COVID-19-mRNA,Air,Jaipur-Hyderabad,3.02,4.16,2.47,73.9,0.9271,6,7.59,20.54,0,0.0,0
SHP-00107,Polio,Road,Delhi-Mumbai,2.83,3.38,1.65,56.93,0.6106,6,70.4,1.34,1,12.35,0
SHP-00108,Influenza,Air,Bengaluru-Pune,1.4,2.16,-0.27,53.91,0.465,2,59.67,3.78,1,58.21,0
SHP-00109,COVID-19-mRNA,Rail,Bengaluru-Pune,6.51,6.79,5.25,49.85,1.4766,2,35.5,2.8,0,0.0,0
SHP-00110,COVID-19-mRNA,Sea,Bengaluru-Pune,5.37,5.61,3.93,37.57,0.1309,1,66.74,4.21,0,0.0,0
SHP-00111,COVID-19-mRNA,Sea,Delhi-Mumbai,6.06,6.07,5.7,51.82,0.3034,3,67.45,3.45,0,0.0,0
SHP-00112,COVID-19-mRNA,Rail,Jaipur-Hyderabad,-0.32,0.79,-0.82,52.24,1.0002,6,41.18,6.49,1,117.02,1
SHP-00113,Rotavirus,Road,Bengaluru-Pune,3.6,4.33,3.44,57.62,0.4012,1,21.43,10.32,0,0.0,0
SHP-00114,Influenza,Road,Delhi-Mumbai,3.3,5.56,3.26,40.77,0.1415,3,38.15,1.68,0,0.0,0
SHP-00115,Hepatitis-B,Road,Chennai-Kolkata,3.3,5.34,1.87,52.61,0.1172,0,27.44,1.01,1,73.29,0
SHP-00116,Rotavirus,Road,Delhi-Mumbai,2.46,3.01,1.29,60.76,0.6989,3,35.57,20.78,1,56.33,0
SHP-00117,Influenza,Road,Delhi-Mumbai,3.13,5.88,2.6,61.76,0.0064,1,66.15,10.05,0,0.0,0
SHP-00118,COVID-19-mRNA,Road,Delhi-Mumbai,6.12,7.4,4.69,36.4,1.2278,3,24.6,2.26,0,0.0,0
SHP-00119,Rotavirus,Rail,Bengaluru-Pune,-0.78,-0.47,-2.47,62.06,0.0093,2,61.37,11.26,1,79.21,0
SHP-00120,Hepatitis-B,Road,Delhi-Mumbai,8.44,9.25,8.2,52.53,0.4985,6,67.73,5.55,1,96.91,0
SHP-00121,Influenza,Road,Chennai-Kolkata,5.21,6.04,4.33,53.15,0.4641,3,59.13,2.88,0,0.0,0
SHP-00122,Rotavirus,Sea,Bengaluru-Pune,3.89,4.16,3.81,31.35,0.4319,3,40.8,10.33,0,0.0,0
SHP-00123,Polio,Air,Chennai-Kolkata,6.27,8.37,4.35,69.94,0.3216,4,43.22,5.62,1,36.26,0
SHP-00124,COVID-19-mRNA,Road,Lucknow-Ahmedabad,0.37,1.05,-0.71,56.77,0.9567,3,60.1,8.76,1,76.21,0
SHP-00125,COVID-19-mRNA,Sea,Delhi-Mumbai,2.34,3.54,1.13,39.69,0.5384,3,8.94,2.7,1,16.26,0
SHP-00126,Polio,Road,Bengaluru-Pune,3.7,7.83,3.03,58.75,0.7613,1,54.57,8.02,0,0.0,0
SHP-00127,Influenza,Road,Bengaluru-Pune,7.41,7.53,6.71,58.44,0.0614,5,40.91,2.29,0,0.0,0
SHP-00128,Rotavirus,Air,Delhi-Mumbai,3.88,4.75,3.36,67.23,0.0256,3,32.21,6.64,0,0.0,0
SHP-00129,COVID-19-mRNA,Road,Jaipur-Hyderabad,5.13,7.24,4.7,51.9,0.0145,5,56.62,2.86,0,0.0,0
SHP-00130,Hepatitis-B,Rail,Jaipur-Hyderabad,2.53,3.23,0.98,55.12,0.0796,5,23.57,2.6,1,108.29,0
SHP-00131,Polio,Road,Chennai-Kolkata,5.22,7.71,4.33,48.57,0.5498,2,65.11,7.96,0,0.0,0
SHP-00132,COVID-19-mRNA,Road,Delhi-Mumbai,8.19,9.5,6.43,60.98,0.3406,2,51.44,0.67,1,50.45,0
SHP-00133,COVID-19-mRNA,Air,Delhi-Mumbai,6.49,8.63,5.42,47.17,0.6977,2,46.27,13.17,1,73.66,0
SHP-00134,Polio,Air,Lucknow-Ahmedabad,3.8,4.1,2.17,46.07,0.1064,4,40.53,3.55,0,0.0,0
SHP-00135,Rotavirus,Sea,Jaipur-Hyderabad,5.69,7.63,5.48,54.32,0.2286,3,20.04,5.05,0,0.0,0
SHP-00136,Polio,Road,Jaipur-Hyderabad,5.44,8.3,5.26,42.74,1.0969,2,46.72,2.6,1,48.21,0
SHP-00137,Hepatitis-B,Road,Delhi-Mumbai,5.27,6.97,3.35,71.02,1.3722,5,53.84,5.19,0,0.0,0
SHP-00138,Influenza,Air,Chennai-Kolkata,6.78,8.69,5.87,74.27,1.2738,2,6.77,6.19,1,74.35,0
SHP-00139,Polio,Road,Delhi-Mumbai,6.76,8.87,5.32,50.46,0.8527,4,30.18,10.14,1,22.3,0
SHP-00140,Rotavirus,Sea,Chennai-Kolkata,3.68,5.25,3.39,41.13,0.5828,6,60.94,9.63,0,0.0,0
SHP-00141,Rotavirus,Road,Jaipur-Hyderabad,5.6,6.81,4.63,58.37,1.2248,3,47.73,2.21,0,0.0,0
SHP-00142,COVID-19-mRNA,Air,Lucknow-Ahmedabad,3.04,3.8,2.91,50.18,0.6262,4,46.61,4.78,0,0.0,0
SHP-00143,Polio,Road,Bengaluru-Pune,1.69,1.74,1.1,66.75,1.5389,2,21.09,7.58,1,53.18,0
SHP-00144,Polio,Rail,Jaipur-Hyderabad,3.33,3.58,2.62,47.13,0.0126,4,47.72,7.24,0,0.0,0
SHP-00145,COVID-19-mRNA,Road,Chennai-Kolkata,3.81,4.03,3.34,60.45,1.2732,1,57.89,11.08,0,0.0,0
SHP-00146,COVID-19-mRNA,Rail,Delhi-Mumbai,-0.15,0.73,-0.64,56.14,0.4057,1,32.52,8.92,1,44.14,1
SHP-00147,Hepatitis-B,Road,Jaipur-Hyderabad,6.15,7.15,5.22,48.24,0.0593,2,18.02,6.33,0,0.0,0
SHP-00148,Hepatitis-B,Rail,Lucknow-Ahmedabad,-2.92,-1.28,-3.96,57.4,0.121,5,11.1,6.91,1,95.47,0
SHP-00149,COVID-19-mRNA,Road,Chennai-Kolkata,10.79,13.52,9.67,63.79,0.9558,1,39.38,8.24,1,17.71,1
SHP-00150,COVID-19-mRNA,Air,Delhi-Mumbai,7.75,7.79,7.73,55.87,0.3527,3,51.13,9.1,0,0.0,0
SHP-00151,Rotavirus,Road,Bengaluru-Pune,3.35,4.13,2.17,55.97,2.0319,2,16.73,2.17,0,0.0,0
SHP-00152,COVID-19-mRNA,Air,Chennai-Kolkata,4.02,4.94,3.6,46.27,0.0625,5,33.82,7.61,0,0.0,0
SHP-00153,COVID-19-mRNA,Sea,Delhi-Mumbai,4.76,6.47,3.85,66.44,0.2659,4,43.53,14.9,0,0.0,0
SHP-00154,Polio,Rail,Bengaluru-Pune,2.53,3.55,1.5,65.45,0.2016,3,16.29,1.33,1,55.99,0
SHP-00155,Rotavirus,Road,Delhi-Mumbai,4.48,5.98,3.98,50.89,0.363,6,23.81,0.25,0,0.0,0
SHP-00156,COVID-19-mRNA,Road,Bengaluru-Pune,3.64,3.83,3.57,53.76,0.5018,3,46.16,0.38,0,0.0,0
SHP-00157,Hepatitis-B,Air,Bengaluru-Pune,3.76,5.58,3.52,69.14,0.5418,4,53.85,1.22,0,0.0,0
SHP-00158,Influenza,Rail,Bengaluru-Pune,4.45,6.69,3.95,43.66,0.0006,3,47.98,12.62,0,0.0,0
SHP-00159,COVID-19-mRNA,Road,Delhi-Mumbai,0.72,0.79,-0.07,61.04,0.0466,3,53.1,0.68,1,78.65,0
SHP-00160,Influenza,Air,Bengaluru-Pune,4.1,5.81,3.51,49.41,0.0178,1,44.38,6.88,0,0.0,0
SHP-00161,Polio,Road,Chennai-Kolkata,4.41,6.1,3.27,72.78,0.9998,2,61.16,10.09,0,0.0,0
SHP-00162,Hepatitis-B,Air,Lucknow-Ahmedabad,4.32,4.49,4.24,55.63,0.1879,5,60.56,10.5,0,0.0,0
SHP-00163,Hepatitis-B,Road,Lucknow-Ahmedabad,3.46,6.47,2.95,67.6,0.2287,2,58.55,2.7,0,0.0,0
SHP-00164,Hepatitis-B,Road,Bengaluru-Pune,6.84,7.0,6.16,47.39,0.2993,5,43.98,3.42,0,0.0,0
SHP-00165,COVID-19-mRNA,Air,Lucknow-Ahmedabad,3.12,3.32,2.81,42.51,0.9462,6,71.61,1.95,0,0.0,0
SHP-00166,Influenza,Sea,Lucknow-Ahmedabad,4.57,8.42,4.19,52.66,0.0071,3,8.58,0.8,1,118.27,0
SHP-00167,Polio,Air,Bengaluru-Pune,7.24,7.91,6.67,57.63,0.0631,2,18.91,1.19,0,0.0,0
SHP-00168,COVID-19-mRNA,Air,Bengaluru-Pune,3.8,5.08,3.35,49.89,0.5779,2,59.39,0.72,0,0.0,0
SHP-00169,COVID-19-mRNA,Air,Chennai-Kolkata,4.54,6.88,3.85,62.58,1.6606,3,60.54,2.62,0,0.0,0
SHP-00170,Hepatitis-B,Rail,Jaipur-Hyderabad,3.76,5.0,3.56,52.9,0.5147,4,60.04,0.93,0,0.0,0
SHP-00171,Hepatitis-B,Road,Delhi-Mumbai,7.09,7.79,5.68,34.19,0.1513,1,63.6,2.58,0,0.0,0
SHP-00172,COVID-19-mRNA,Road,Bengaluru-Pune,3.36,4.93,3.05,60.53,0.3668,4,33.89,9.53,0,0.0,0
SHP-00173,Hepatitis-B,Air,Bengaluru-Pune,7.21,7.23,6.53,46.17,1.844,2,67.5,5.31,0,0.0,0
SHP-00174,COVID-19-mRNA,Air,Lucknow-Ahmedabad,3.74,7.17,3.16,51.38,0.3755,3,19.81,5.43,0,0.0,0
SHP-00175,Hepatitis-B,Road,Chennai-Kolkata,1.85,2.22,-0.07,70.53,0.2338,0,67.84,8.35,1,55.62,0
SHP-00176,COVID-19-mRNA,Rail,Lucknow-Ahmedabad,5.7,6.84,5.68,72.73,0.2418,3,42.74,0.21,0,0.0,0
SHP-00177,Hepatitis-B,Rail,Bengaluru-Pune,3.24,4.66,1.68,49.25,1.7061,5,16.82,7.91,1,73.22,0
SHP-00178,Polio,Air,Bengaluru-Pune,5.55,5.93,5.27,60.78,0.6346,2,54.58,1.09,0,0.0,0
SHP-00179,Rotavirus,Road,Lucknow-Ahmedabad,-2.82,-1.09,-2.89,49.48,0.5811,6,25.53,2.12,1,44.95,1
SHP-00180,COVID-19-mRNA,Sea,Bengaluru-Pune,4.01,7.87,3.56,52.13,0.132,3,20.55,1.84,0,0.0,0
SHP-00181,Polio,Road,Jaipur-Hyderabad,2.85,4.39,2.59,48.94,0.4099,0,17.36,0.56,0,0.0,0
SHP-00182,COVID-19-mRNA,Rail,Delhi-Mumbai,1.34,1.35,0.33,37.76,0.2206,2,7.94,0.95,1,17.62,0
SHP-00183,Rotavirus,Air,Delhi-Mumbai,2.62,5.01,1.52,55.95,0.1374,1,56.47,15.66,1,87.93,0
SHP-00184,Rotavirus,Sea,Delhi-Mumbai,2.57,3.85,1.91,57.88,1.1295,8,38.11,4.58,1,88.75,0
SHP-00185,COVID-19-mRNA,Rail,Jaipur-Hyderabad,3.88,4.41,3.32,48.29,0.2416,4,70.6,3.21,0,0.0,0
SHP-00186,Hepatitis-B,Sea,Bengaluru-Pune,0.58,0.71,-0.55,65.88,0.1662,3,34.99,7.09,1,39.6,1
SHP-00187,Influenza,Road,Lucknow-Ahmedabad,4.79,5.64,4.06,50.64,1.3421,4,61.66,8.4,0,0.0,0
SHP-00188,Hepatitis-B,Road,Chennai-Kolkata,7.42,8.87,6.76,48.63,0.1099,3,69.89,0.58,1,36.37,0
SHP-00189,Hepatitis-B,Sea,Bengaluru-Pune,4.7,5.19,3.05,60.27,0.6842,4,7.48,6.75,0,0.0,0
SHP-00190,COVID-19-mRNA,Road,Jaipur-Hyderabad,6.02,7.68,5.27,39.57,0.5289,5,12.95,13.47,0,0.0,0
SHP-00191,COVID-19-mRNA,Road,Jaipur-Hyderabad,6.74,7.18,5.43,64.07,1.2659,5,28.96,4.4,0,0.0,0
SHP-00192,Rotavirus,Road,Delhi-Mumbai,7.09,8.59,6.12,50.98,0.892,2,63.43,4.76,1,103.34,0
SHP-00193,Rotavirus,Rail,Bengaluru-Pune,8.68,8.77,7.84,64.89,0.6109,2,61.3,10.22,1,97.44,0
SHP-00194,Hepatitis-B,Sea,Delhi-Mumbai,2.75,3.06,2.41,67.88,0.1889,4,30.2,5.69,0,0.0,0
SHP-00195,Polio,Air,Chennai-Kolkata,2.2,4.01,2.06,61.4,0.3422,4,19.19,26.77,0,0.0,0
SHP-00196,Polio,Rail,Delhi-Mumbai,5.96,7.96,5.54,46.88,1.4456,6,58.95,1.66,0,0.0,0
SHP-00197,Influenza,Road,Chennai-Kolkata,5.77,6.44,5.55,42.49,0.0117,5,45.4,9.34,0,0.0,0
SHP-00198,Rotavirus,Air,Jaipur-Hyderabad,5.94,6.55,5.87,40.66,0.7907,2,8.09,4.74,0,0.0,0
SHP-00199,Rotavirus,Road,Delhi-Mumbai,8.72,8.97,8.01,66.03,0.145,5,59.08,2.28,1,18.28,0
